latitude,longitude,price,neighbourhood_cleansed,accommodates,room_type
51.550302481680795,-0.18304082478318448,210.0,Camden,2,Entire home/apt
51.54194648920363,-0.1038765145019188,35.0,Islington,2,Shared room
51.541393748497505,-0.06170171498378725,50.0,Hackney,2,Private room
51.553531250128366,-0.15174639379166271,45.0,Camden,2,Private room
51.530163024774005,-0.08853356756919695,46.0,Hackney,2,Private room
51.4980044955737,-0.018890795151252672,300.0,Tower Hamlets,4,Entire home/apt
51.44559167724614,-0.2168777867788625,48.0,Wandsworth,2,Private room
51.51946882338812,-0.061875621006259984,65.0,Tower Hamlets,2,Private room
51.447266104237755,-0.002733156988911869,25.0,Lewisham,2,Private room
51.51992705939601,-0.13043725579084234,219.0,Camden,6,Entire home/apt
51.47591004030487,-0.060231896328602874,54.0,Southwark,1,Private room
51.56566195184236,-0.057925544565952634,30.0,Hackney,2,Private room
51.53980903389285,-0.07535577248663723,110.0,Hackney,2,Entire home/apt
51.49728029951274,-0.16203351454859205,235.0,Kensington and Chelsea,3,Entire home/apt
51.51296845039182,-0.1263488521427232,275.0,Westminster,6,Entire home/apt
51.52638528713917,-0.07702727722271542,85.0,Hackney,2,Private room
51.53233364289735,-0.12857156721020468,100.0,Camden,4,Entire home/apt
51.446601701655005,-0.2076016665819328,60.0,Wandsworth,2,Private room
51.52693859590746,-0.19813516726149394,45.0,Westminster,2,Private room
51.46310282159628,-0.2948321013287246,180.0,Richmond upon Thames,6,Entire home/apt
51.46900693632792,-0.07147457596426716,35.0,Southwark,2,Private room
51.542306854718866,-0.20882617523120486,40.0,Brent,2,Private room
51.511065786746386,-0.1922342817910152,230.0,Westminster,6,Entire home/apt
51.49135198847061,-0.18562824975430745,140.0,Kensington and Chelsea,2,Entire home/apt
51.50030794463483,-0.06771102158178251,27.0,Southwark,1,Private room
51.5405385065539,-0.1557846089948521,150.0,Camden,4,Entire home/apt
51.48118528760409,-0.2081928597164754,65.0,Hammersmith and Fulham,2,Private room
51.45129115126086,-0.21054075146645249,30.0,Wandsworth,1,Private room
51.46554915061986,-0.10840111640344333,40.0,Lambeth,2,Private room
51.43424951871443,-0.05265540527311265,60.0,Lewisham,4,Entire home/apt
51.50962893803053,-0.19914126536692225,135.0,Kensington and Chelsea,3,Entire home/apt
51.53951525580986,0.07906241997751147,33.0,Barking and Dagenham,2,Private room
51.53472967364851,-0.3448720852663629,30.0,Ealing,3,Private room
51.54162378211018,-0.08638736332072522,150.0,Islington,4,Entire home/apt
51.53932110597985,-0.09772974983795348,108.0,Islington,4,Entire home/apt
51.497918247184046,-0.20803830422040925,350.0,Kensington and Chelsea,8,Entire home/apt
51.552579040377594,-0.044432204495963266,199.0,Hackney,6,Entire home/apt
51.60166677429937,-0.044912227335441035,53.0,Haringey,2,Private room
51.53938829592536,-0.20290306606043226,38.0,Brent,2,Private room
51.41189345861873,-0.3060834986939726,130.0,Kingston upon Thames,7,Entire home/apt
51.49299924350418,-0.2437664989031993,40.0,Hammersmith and Fulham,2,Private room
51.544729082392216,0.0020609236313309165,150.0,Newham,6,Entire home/apt
51.591938591452674,-0.06229394271132766,116.0,Haringey,2,Private room
51.51642704359542,-0.18650829229746074,137.0,Westminster,2,Entire home/apt
51.37105352083949,-0.1281810867570974,25.0,Sutton,2,Private room
51.541418253269576,-0.2043459010180481,42.0,Brent,2,Private room
51.57126990000002,-0.108250181201913,180.0,Haringey,6,Entire home/apt
51.55188436737846,-0.14533750728379308,100.0,Camden,4,Entire home/apt
51.50092457125268,-0.016255587834924742,450.0,Tower Hamlets,8,Entire home/apt
51.55205068955653,-0.13756416340894398,85.0,Camden,4,Entire home/apt
51.47948403669602,-0.08682287451041856,120.0,Southwark,6,Entire home/apt
51.52067853687558,-0.07023984010648161,77.0,Tower Hamlets,2,Entire home/apt
51.5135054497475,-0.13671770773388806,125.0,Westminster,3,Entire home/apt
51.49939438550921,-0.1996464625422007,100.0,Kensington and Chelsea,5,Entire home/apt
51.43711344621498,-0.15800532828002856,80.0,Wandsworth,2,Entire home/apt
51.449733816218156,-0.12964131462767267,70.0,Lambeth,2,Private room
51.41817162458955,-0.1852961716841949,100.0,Merton,4,Private room
51.529832661546536,-0.18789675714043932,50.0,Westminster,1,Private room
51.67083122624025,-0.015433026635596541,63.0,Enfield,2,Entire home/apt
51.450222573041145,-0.11171467195774692,50.0,Lambeth,2,Entire home/apt
51.56865538356619,-0.10964453092098728,75.0,Haringey,2,Private room
51.49325866644881,-0.11952794918185193,42.0,Lambeth,2,Private room
51.53477050839886,-0.06994405540342212,120.0,Hackney,2,Entire home/apt
51.44661347985826,-0.18818869713481454,60.0,Wandsworth,2,Private room
51.44054873007892,-0.2167068921251064,60.0,Wandsworth,4,Private room
51.52566181665247,-0.09253106230598784,32.0,Islington,2,Private room
51.539719253316356,-0.2042161965966016,40.0,Brent,2,Private room
51.464515320953595,-0.21941712291684567,79.0,Wandsworth,2,Entire home/apt
51.455165215557386,0.13425514045755754,80.0,Bexley,4,Entire home/apt
51.5921959871003,-0.06663686826376844,25.0,Haringey,1,Private room
51.53297389231204,-0.21764558106467846,50.0,Brent,2,Private room
51.53423103962123,-0.07594397545032623,130.0,Hackney,3,Entire home/apt
51.48108672416934,-0.4475791737502083,450.0,Hillingdon,2,Private room
51.52165421224293,-0.1955901571496088,49.0,Westminster,2,Private room
51.500137085784424,-0.21660802585573588,43.0,Hammersmith and Fulham,2,Private room
51.4756797608981,-0.17450860511253707,70.0,Wandsworth,2,Private room
51.482036150757004,-0.44622644034633385,50.0,Hillingdon,2,Private room
51.538347165518466,0.1030587957155592,90.0,Barking and Dagenham,5,Entire home/apt
51.52080435182645,-0.03871624855735211,35.0,Tower Hamlets,2,Private room
51.557212838642606,-0.14304360638549626,35.0,Camden,1,Shared room
51.43960827548563,-0.20357743994935995,170.0,Wandsworth,3,Entire home/apt
51.49291014700701,-0.260450561633136,29.0,Hounslow,1,Private room
51.49939939664503,-0.04985390537637467,100.0,Southwark,2,Private room
51.48619665621898,0.031027562459502164,199.0,Greenwich,7,Entire home/apt
51.60976415532514,-0.12769842799068587,22.0,Enfield,1,Shared room
51.53843897287743,-0.1978043239718393,100.0,Brent,5,Entire home/apt
51.59226974991538,-0.0171391583992034,22.0,Waltham Forest,2,Private room
51.54078710726971,-0.1391362596699168,150.0,Camden,4,Entire home/apt
51.47389966119116,-0.183930604063453,100.0,Hammersmith and Fulham,4,Entire home/apt
51.55244295243325,-0.11060506460841237,40.0,Islington,1,Private room
51.52440488848397,-0.07772521140181657,45.0,Hackney,2,Private room
